m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,runner latency
1024,1024,1024,32,512,8,256,684.05
1024,1024,1024,32,512,16,16,5023.6
1024,1024,1024,32,512,16,32,2737.75
1024,1024,1024,32,512,16,64,1229.85
1024,1024,1024,32,512,16,128,663.15
1024,1024,1024,32,512,16,256,0.0
1024,1024,1024,32,512,32,16,2919.85
1024,1024,1024,32,512,32,32,1543.8
1024,1024,1024,32,512,32,64,1040.6
1024,1024,1024,32,512,32,128,419.25
1024,1024,1024,32,512,32,256,302.75
1024,1024,1024,32,512,64,16,1853.8
1024,1024,1024,32,512,64,32,0.0
1024,1024,1024,32,512,64,64,504.95
1024,1024,1024,32,512,64,128,318.15
1024,1024,1024,32,512,128,16,1711.45
1024,1024,1024,32,512,128,32,1133.5
1024,1024,1024,32,512,128,64,442.85
1024,1024,1024,32,512,256,16,1359.1
1024,1024,1024,32,1024,8,16,10739.8
1024,1024,1024,32,1024,8,32,5661.15
1024,1024,1024,32,1024,8,64,2915.8
1024,1024,1024,32,1024,8,128,1671.45
1024,1024,1024,32,1024,8,256,780.35
1024,1024,1024,32,1024,16,16,6376.45
1024,1024,1024,32,1024,16,32,3102.4
1024,1024,1024,32,1024,16,64,1701.8
1024,1024,1024,32,1024,16,128,1156.65
1024,1024,1024,32,1024,16,256,560.15
1024,1024,1024,32,1024,32,16,0.0
1024,1024,1024,32,1024,32,32,1999.1
1024,1024,1024,32,1024,32,64,1172.2
1024,1024,1024,32,1024,32,128,530.3
1024,1024,1024,32,1024,32,256,375.35
1024,1024,1024,32,1024,64,16,2245.2
1024,1024,1024,32,1024,64,32,1150.05
1024,1024,1024,32,1024,64,64,900.45
1024,1024,1024,32,1024,64,128,481.7
1024,1024,1024,32,1024,128,16,1577.75
1024,1024,1024,32,1024,128,32,1223.5
1024,1024,1024,32,1024,128,64,547.25
1024,1024,1024,32,1024,256,16,1723.55
1024,1024,1024,64,8,8,16,6697.15
1024,1024,1024,64,8,8,32,3533.3
1024,1024,1024,64,8,8,64,2102.8
1024,1024,1024,64,8,8,128,1310.95
1024,1024,1024,64,8,8,256,629.1
1024,1024,1024,64,16,8,16,4748.8
1024,1024,1024,64,16,8,32,2576.95
1024,1024,1024,64,16,8,64,1563.2
1024,1024,1024,64,16,8,128,1014.2
1024,1024,1024,64,16,8,256,434.5
1024,1024,1024,64,16,16,16,3148.05
1024,1024,1024,64,16,16,32,1620.85
1024,1024,1024,64,16,16,64,1199.25
1024,1024,1024,64,16,16,128,527.85
1024,1024,1024,64,16,16,256,338.7
1024,1024,1024,64,32,8,16,4926.45
1024,1024,1024,64,32,8,32,2489.2
1024,1024,1024,64,32,8,64,1525.7
1024,1024,1024,64,32,8,128,995.35
1024,1024,1024,64,32,8,256,414.15
1024,1024,1024,64,32,16,16,2725.6
1024,1024,1024,64,32,16,32,1387.55
1024,1024,1024,64,32,16,64,0.0
1024,1024,1024,64,32,16,128,409.75
1024,1024,1024,64,32,16,256,286.65
1024,1024,1024,64,32,32,16,1997.55
1024,1024,1024,64,32,32,32,1330.4
1024,1024,1024,64,32,32,64,548.95
1024,1024,1024,64,32,32,128,340.95
1024,1024,1024,64,64,8,16,4635.85
1024,1024,1024,64,64,8,32,2311.9
1024,1024,1024,64,64,8,64,1197.35
1024,1024,1024,64,64,8,128,922.2
1024,1024,1024,64,64,8,256,463.45
1024,1024,1024,64,64,16,16,2575.9
1024,1024,1024,64,64,16,32,1586.8
1024,1024,1024,64,64,16,64,979.2
1024,1024,1024,64,64,16,128,404.75
1024,1024,1024,64,64,16,256,296.2
1024,1024,1024,64,64,32,16,1566.9
1024,1024,1024,64,64,32,32,1016.2
1024,1024,1024,64,64,32,64,404.45
1024,1024,1024,64,64,32,128,262.15
1024,1024,1024,64,64,64,16,1129.95
1024,1024,1024,64,64,64,32,1006.7
1024,1024,1024,64,64,64,64,412.4
1024,1024,1024,64,128,8,16,4932.2
1024,1024,1024,64,128,8,32,2606.95
1024,1024,1024,64,128,8,64,1448.2
1024,1024,1024,64,128,8,128,640.5
1024,1024,1024,64,128,8,256,424.95
1024,1024,1024,64,128,16,16,2442.35
1024,1024,1024,64,128,16,32,1589.1
1024,1024,1024,64,128,16,64,982.25
1024,1024,1024,64,128,16,128,409.45
1024,1024,1024,64,128,16,256,317.4
1024,1024,1024,64,128,32,16,1508.15
1024,1024,1024,64,128,32,32,719.1
1024,1024,1024,64,128,32,64,503.35
1024,1024,1024,64,128,32,128,291.85
1024,1024,1024,64,128,64,16,1128.35
1024,1024,1024,64,128,64,32,648.4
1024,1024,1024,64,128,64,64,479.45
1024,1024,1024,64,128,128,16,1161.65
1024,1024,1024,64,128,128,32,667.65
1024,1024,1024,64,256,8,16,4891.3
1024,1024,1024,64,256,8,32,2647.55
