m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,64,256,8,32,739.9,1320.0,627.0
1024,1024,1024,64,256,8,64,368.75,457.0,341.0
1024,1024,1024,64,256,8,128,259.35,303.0,243.0
1024,1024,1024,64,256,8,256,243.8,533.0,206.0
1024,1024,1024,64,256,16,32,697.1,1021.0,621.0
1024,1024,1024,64,256,16,64,389.85,442.0,374.0
1024,1024,1024,64,256,16,128,300.7,346.0,278.0
1024,1024,1024,64,256,16,256,287.2,291.0,272.0
1024,1024,1024,64,256,32,32,629.65,637.0,617.0
1024,1024,1024,64,256,32,64,393.3,411.0,384.0
1024,1024,1024,64,256,32,128,272.2,306.0,250.0
1024,1024,1024,64,256,64,32,703.25,1221.0,594.0
1024,1024,1024,64,256,64,64,385.45,393.0,369.0
1024,1024,1024,64,256,128,32,958.4,1315.0,616.0
1024,1024,1024,64,512,8,32,634.4,929.0,536.0
1024,1024,1024,64,512,8,64,331.4,385.0,313.0
1024,1024,1024,64,512,8,128,240.85,281.0,212.0
1024,1024,1024,64,512,8,256,191.85,216.0,183.0
1024,1024,1024,64,512,16,32,579.4,595.0,560.0
1024,1024,1024,64,512,16,64,349.9,365.0,341.0
1024,1024,1024,64,512,16,128,278.9,283.0,267.0
1024,1024,1024,64,512,16,256,0.0,0.0,0.0
1024,1024,1024,64,512,32,32,608.95,1082.0,540.0
1024,1024,1024,64,512,32,64,347.15,423.0,321.0
1024,1024,1024,64,512,32,128,243.8,248.0,232.0
1024,1024,1024,64,512,64,32,627.9,1017.0,543.0
1024,1024,1024,64,512,64,64,348.7,355.0,332.0
1024,1024,1024,64,512,128,32,554.05,558.0,546.0
1024,1024,1024,64,1024,8,32,550.45,564.0,536.0
1024,1024,1024,64,1024,8,64,366.65,390.0,355.0
1024,1024,1024,64,1024,8,128,315.9,558.0,247.0
1024,1024,1024,64,1024,8,256,240.75,245.0,230.0
1024,1024,1024,64,1024,16,32,663.5,708.0,648.0
1024,1024,1024,64,1024,16,64,467.75,475.0,465.0
1024,1024,1024,64,1024,16,128,408.1,685.0,354.0
1024,1024,1024,64,1024,16,256,328.4,333.0,313.0
1024,1024,1024,64,1024,32,32,807.7,1258.0,620.0
1024,1024,1024,64,1024,32,64,420.45,448.0,398.0
1024,1024,1024,64,1024,32,128,325.3,335.0,304.0
1024,1024,1024,64,1024,64,32,703.35,1049.0,550.0
1024,1024,1024,64,1024,64,64,451.25,879.0,364.0
1024,1024,1024,64,1024,128,32,620.3,840.0,520.0
1024,1024,1024,128,32,8,32,944.95,963.0,936.0
1024,1024,1024,128,32,8,64,555.4,653.0,532.0
1024,1024,1024,128,32,8,128,339.15,347.0,322.0
1024,1024,1024,128,32,16,32,929.45,1211.0,891.0
1024,1024,1024,128,32,16,64,583.95,1048.0,526.0
1024,1024,1024,128,32,16,128,407.65,900.0,329.0
1024,1024,1024,128,32,32,32,1166.25,1554.0,840.0
1024,1024,1024,128,32,32,64,531.1,838.0,500.0
1024,1024,1024,128,64,8,32,830.55,1051.0,606.0
1024,1024,1024,128,64,8,64,375.2,388.0,358.0
1024,1024,1024,128,64,8,128,238.9,254.0,234.0
1024,1024,1024,128,64,16,32,602.45,623.0,588.0
1024,1024,1024,128,64,16,64,372.5,378.0,361.0
1024,1024,1024,128,64,16,128,263.65,288.0,239.0
1024,1024,1024,128,64,32,32,715.5,942.0,562.0
1024,1024,1024,128,64,32,64,363.8,463.0,344.0
1024,1024,1024,128,64,64,32,569.9,829.0,545.0
1024,1024,1024,128,128,8,32,614.45,658.0,591.0
1024,1024,1024,128,128,8,64,385.4,397.0,368.0
1024,1024,1024,128,128,8,128,236.15,242.0,219.0
1024,1024,1024,128,128,16,32,606.3,612.0,590.0
1024,1024,1024,128,128,16,64,370.75,394.0,341.0
1024,1024,1024,128,128,16,128,281.25,288.0,272.0
1024,1024,1024,128,128,32,32,607.95,619.0,601.0
1024,1024,1024,128,128,32,64,376.7,397.0,364.0
1024,1024,1024,128,128,64,32,857.8,1131.0,577.0
1024,1024,1024,128,256,8,32,797.35,1190.0,566.0
1024,1024,1024,128,256,8,64,354.6,388.0,335.0
1024,1024,1024,128,256,8,128,255.15,262.0,243.0
1024,1024,1024,128,256,16,32,684.45,890.0,587.0
1024,1024,1024,128,256,16,64,373.1,378.0,357.0
1024,1024,1024,128,256,16,128,294.05,314.0,269.0
1024,1024,1024,128,256,32,32,869.7,1203.0,596.0
1024,1024,1024,128,256,32,64,347.2,351.0,336.0
1024,1024,1024,128,256,64,32,569.05,575.0,553.0
1024,1024,1024,128,512,8,32,0.0,0.0,0.0
1024,1024,1024,128,512,8,64,287.5,321.0,263.0
1024,1024,1024,128,512,8,128,210.55,219.0,204.0
1024,1024,1024,128,512,16,32,500.5,809.0,461.0
1024,1024,1024,128,512,16,64,375.6,793.0,314.0
1024,1024,1024,128,512,16,128,280.5,289.0,263.0
1024,1024,1024,128,512,32,32,467.45,490.0,453.0
1024,1024,1024,128,512,32,64,0.0,0.0,0.0
1024,1024,1024,128,512,64,32,451.75,481.0,438.0
1024,1024,1024,128,1024,8,32,504.85,519.0,483.0
1024,1024,1024,128,1024,8,64,324.8,331.0,316.0
1024,1024,1024,128,1024,8,128,204.05,209.0,195.0
1024,1024,1024,128,1024,16,32,572.3,577.0,555.0
1024,1024,1024,128,1024,16,64,424.3,515.0,403.0
1024,1024,1024,128,1024,16,128,346.35,351.0,331.0
1024,1024,1024,128,1024,32,32,526.5,571.0,512.0
1024,1024,1024,128,1024,32,64,368.2,372.0,352.0
1024,1024,1024,128,1024,64,32,494.95,527.0,475.0
1024,1024,1024,256,32,8,32,398.7,407.0,394.0
1024,1024,1024,256,32,8,64,2.04683,4.0,2894.0
1024,1024,1024,256,32,16,32,405.05,414.0,378.0
1024,1024,1024,256,32,16,64,1.22792,4.0,320.0
1024,1024,1024,256,32,32,32,390.45,400.0,377.0
1024,1024,1024,256,64,8,32,416.9,508.0,394.0
1024,1024,1024,256,64,8,64,1.84254,4.0,374.0
1024,1024,1024,256,64,16,32,425.3,535.0,402.0
1024,1024,1024,256,64,16,64,1.43233,4.0,329.0
1024,1024,1024,256,64,32,32,408.7,415.0,396.0
1024,1024,1024,256,128,8,32,404.35,422.0,397.0
1024,1024,1024,256,128,8,64,1.84232,4.0,354.0
1024,1024,1024,256,128,16,32,408.25,534.0,379.0
1024,1024,1024,256,128,16,64,1.6372,4.0,321.0
1024,1024,1024,256,128,32,32,397.5,436.0,386.0
1024,1024,1024,256,256,8,32,418.3,495.0,398.0
1024,1024,1024,256,256,8,64,1.84197,4.0,345.0
1024,1024,1024,256,256,16,32,408.5,411.0,394.0
1024,1024,1024,256,256,16,64,1.63773,4.0,335.0
1024,1024,1024,256,256,32,32,423.85,493.0,394.0
1024,1024,1024,256,512,8,32,417.6,465.0,409.0
1024,1024,1024,256,512,8,64,2.04692,4.0,2884.0
1024,1024,1024,256,512,16,32,451.9,521.0,432.0
1024,1024,1024,256,512,16,64,2.04678,4.0,3190.0
1024,1024,1024,256,512,32,32,438.8,443.0,429.0
