m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,64,128,16,64,4299.2,4372.0,4217.0
1024,1024,1024,64,128,16,128,4115.55,4181.0,4054.0
1024,1024,1024,64,128,16,256,4105.25,4201.0,4057.0
1024,1024,1024,64,128,32,32,6476.1,6979.0,6140.0
1024,1024,1024,64,128,32,64,6179.85,6466.0,6034.0
1024,1024,1024,64,128,32,128,6383.6,6890.0,6012.0
1024,1024,1024,64,128,64,32,6487.05,6571.0,6454.0
1024,1024,1024,64,128,64,64,6285.85,6599.0,6096.0
1024,1024,1024,64,128,128,32,6655.4,7077.0,6311.0
1024,1024,1024,64,256,8,32,6224.6,6854.0,5868.0
1024,1024,1024,64,256,8,64,5991.85,6578.0,5613.0
1024,1024,1024,64,256,8,128,5557.2,6259.0,5333.0
1024,1024,1024,64,256,8,256,5661.25,5857.0,5583.0
1024,1024,1024,64,256,16,32,4731.2,4877.0,4492.0
1024,1024,1024,64,256,16,64,4387.25,4755.0,4221.0
1024,1024,1024,64,256,16,128,4143.65,4717.0,4023.0
1024,1024,1024,64,256,16,256,4374.1,4549.0,4072.0
1024,1024,1024,64,256,32,32,6252.5,6570.0,6191.0
1024,1024,1024,64,256,32,64,6434.35,6735.0,6048.0
1024,1024,1024,64,256,32,128,6255.9,6532.0,6007.0
1024,1024,1024,64,256,64,32,6481.7,6787.0,6158.0
1024,1024,1024,64,256,64,64,6397.15,6701.0,6140.0
1024,1024,1024,64,256,128,32,6652.75,6870.0,6303.0
1024,1024,1024,64,512,8,32,6231.35,6586.0,5913.0
1024,1024,1024,64,512,8,64,5821.05,6143.0,5621.0
1024,1024,1024,64,512,8,128,5645.3,6309.0,5359.0
1024,1024,1024,64,512,8,256,5572.05,5743.0,5364.0
1024,1024,1024,64,512,16,32,4704.15,5207.0,4518.0
1024,1024,1024,64,512,16,64,4726.6,5029.0,4378.0
1024,1024,1024,64,512,16,128,4164.95,4880.0,4065.0
1024,1024,1024,64,512,16,256,4152.35,4515.0,4098.0
1024,1024,1024,64,512,32,32,6313.5,6384.0,6170.0
1024,1024,1024,64,512,32,64,6139.3,6389.0,6047.0
1024,1024,1024,64,512,32,128,6216.5,6548.0,6000.0
1024,1024,1024,64,512,64,32,6554.7,6926.0,6263.0
1024,1024,1024,64,512,64,64,6196.35,6519.0,6122.0
1024,1024,1024,64,512,128,32,6651.6,7245.0,6283.0
1024,1024,1024,64,1024,8,32,6785.7,6994.0,6495.0
1024,1024,1024,64,1024,8,64,6226.45,6499.0,5935.0
1024,1024,1024,64,1024,8,128,5561.3,5797.0,5476.0
1024,1024,1024,64,1024,8,256,5858.45,6511.0,5619.0
1024,1024,1024,64,1024,16,32,5109.1,5238.0,5021.0
1024,1024,1024,64,1024,16,64,4419.85,4576.0,4370.0
1024,1024,1024,64,1024,16,128,4481.9,4698.0,4213.0
1024,1024,1024,64,1024,16,256,4458.7,5008.0,4211.0
1024,1024,1024,64,1024,32,32,6627.25,6703.0,6553.0
1024,1024,1024,64,1024,32,64,0.0,0.0,0.0
1024,1024,1024,64,1024,32,128,6323.7,6888.0,6038.0
1024,1024,1024,64,1024,64,32,6628.05,6963.0,6384.0
1024,1024,1024,64,1024,64,64,6386.1,6593.0,6141.0
1024,1024,1024,64,1024,128,32,6805.05,7011.0,6369.0
1024,1024,1024,128,32,8,32,6162.55,6519.0,5913.0
1024,1024,1024,128,32,8,64,5896.35,6083.0,5624.0
1024,1024,1024,128,32,8,128,5754.75,5993.0,5467.0
1024,1024,1024,128,32,16,32,4990.25,5468.0,4825.0
1024,1024,1024,128,32,16,64,4593.85,4802.0,4322.0
1024,1024,1024,128,32,16,128,4432.3,4820.0,4108.0
1024,1024,1024,128,32,32,32,6497.6,6664.0,6187.0
1024,1024,1024,128,32,32,64,6267.15,6470.0,6020.0
1024,1024,1024,128,64,8,32,6270.6,6566.0,5935.0
1024,1024,1024,128,64,8,64,5950.5,6184.0,5645.0
1024,1024,1024,128,64,8,128,5776.45,6020.0,5503.0
1024,1024,1024,128,64,16,32,4898.05,5191.0,4574.0
1024,1024,1024,128,64,16,64,4593.25,4913.0,4300.0
1024,1024,1024,128,64,16,128,4350.95,4710.0,4064.0
1024,1024,1024,128,64,32,32,6503.7,6760.0,6223.0
1024,1024,1024,128,64,32,64,6300.15,6674.0,6061.0
1024,1024,1024,128,64,64,32,6523.25,6732.0,6240.0
1024,1024,1024,128,128,8,32,6218.6,6435.0,5962.0
1024,1024,1024,128,128,8,64,5818.8,5978.0,5631.0
1024,1024,1024,128,128,8,128,5840.25,6304.0,5508.0
1024,1024,1024,128,128,16,32,4853.9,5069.0,4534.0
1024,1024,1024,128,128,16,64,4500.7,4590.0,4287.0
1024,1024,1024,128,128,16,128,4448.2,4903.0,4103.0
1024,1024,1024,128,128,32,32,6593.7,7152.0,6305.0
1024,1024,1024,128,128,32,64,6325.6,6427.0,6060.0
1024,1024,1024,128,128,64,32,6325.4,6568.0,6225.0
1024,1024,1024,128,256,8,32,6084.95,6500.0,5991.0
1024,1024,1024,128,256,8,64,5695.55,5770.0,5641.0
1024,1024,1024,128,256,8,128,5843.1,5981.0,5509.0
1024,1024,1024,128,256,16,32,4650.3,4916.0,4538.0
1024,1024,1024,128,256,16,64,4442.95,4865.0,4271.0
1024,1024,1024,128,256,16,128,4503.9,4871.0,4372.0
1024,1024,1024,128,256,32,32,6480.5,6716.0,6224.0
1024,1024,1024,128,256,32,64,6383.8,6970.0,6069.0
1024,1024,1024,128,256,64,32,6565.6,6937.0,6251.0
1024,1024,1024,128,512,8,32,6324.9,6610.0,5992.0
1024,1024,1024,128,512,8,64,5808.7,6565.0,5660.0
1024,1024,1024,128,512,8,128,6005.6,6212.0,5904.0
1024,1024,1024,128,512,16,32,4879.1,5142.0,4647.0
1024,1024,1024,128,512,16,64,4610.75,4997.0,4377.0
1024,1024,1024,128,512,16,128,4669.45,4929.0,4344.0
1024,1024,1024,128,512,32,32,6544.55,6897.0,6253.0
1024,1024,1024,128,512,32,64,6340.5,6567.0,6123.0
1024,1024,1024,128,512,64,32,0.0,0.0,0.0
1024,1024,1024,128,1024,8,32,6685.1,6924.0,6306.0
1024,1024,1024,128,1024,8,64,5982.3,6646.0,5726.0
1024,1024,1024,128,1024,8,128,6143.35,6394.0,5891.0
1024,1024,1024,128,1024,16,32,5037.55,5307.0,4933.0
1024,1024,1024,128,1024,16,64,4443.95,4514.0,4363.0
1024,1024,1024,128,1024,16,128,4786.2,5079.0,4490.0
1024,1024,1024,128,1024,32,32,0.0,0.0,0.0
1024,1024,1024,128,1024,32,64,6516.75,7022.0,6180.0
1024,1024,1024,128,1024,64,32,0.0,0.0,0.0
1024,1024,1024,256,32,8,32,6226.2,6861.0,5864.0
1024,1024,1024,256,32,8,64,5694.75,5989.0,5408.0
1024,1024,1024,256,32,16,32,4976.3,5484.0,4644.0
1024,1024,1024,256,32,16,64,0.0,0.0,0.0
1024,1024,1024,256,32,32,32,6451.2,6747.0,6117.0
1024,1024,1024,256,64,8,32,0.0,0.0,0.0
1024,1024,1024,256,64,8,64,5590.55,5990.0,5385.0
1024,1024,1024,256,64,16,32,4869.85,5118.0,4770.0
1024,1024,1024,256,64,16,64,1.84213,4.0,4101.0
1024,1024,1024,256,64,32,32,6631.2,7035.0,6246.0
1024,1024,1024,256,128,8,32,6144.15,6306.0,5874.0
1024,1024,1024,256,128,8,64,5640.65,6173.0,5373.0
1024,1024,1024,256,128,16,32,4782.4,4974.0,4536.0
1024,1024,1024,256,128,16,64,4268.05,4814.0,4093.0
1024,1024,1024,256,128,32,32,6280.95,6366.0,6232.0
1024,1024,1024,256,256,8,32,6232.25,6535.0,5909.0
1024,1024,1024,256,256,8,64,5430.3,5711.0,5390.0
1024,1024,1024,256,256,16,32,4604.7,5242.0,4493.0
1024,1024,1024,256,256,16,64,4149.05,4794.0,4082.0
1024,1024,1024,256,256,32,32,6338.8,6767.0,6276.0
1024,1024,1024,256,512,8,32,6322.5,6407.0,6266.0
1024,1024,1024,256,512,8,64,6333.7,6398.0,6279.0
1024,1024,1024,256,512,16,32,6735.75,6939.0,6344.0
1024,1024,1024,256,512,16,64,6391.25,6949.0,6232.0
1024,1024,1024,256,512,32,32,6440.65,6716.0,6305.0
